period_key,folder_name,fiscal_year,month_number,fiscal_month,month_year,start_date,end_date
FY25-M01,FY25 M01 - Fiscal June,2025,1,June,2024,2024-05-27,2024-06-30
FY25-M02,FY25 M02 - Fiscal July,2025,2,July,2024,2024-07-01,2024-07-28
FY25-M03,FY25 M03 - Fiscal August,2025,3,August,2024,2024-07-29,2024-08-25
FY25-M04,FY25 M04 - Fiscal September,2025,4,September,2024,2024-08-26,2024-09-29
FY25-M05,FY25 M05 - Fiscal October,2025,5,October,2024,2024-09-30,2024-10-27
FY25-M06,FY25 M06 - Fiscal November,2025,6,November,2024,2024-10-28,2024-11-24
FY25-M07,FY25 M07 - Fiscal December,2025,7,December,2024,2024-11-25,2024-12-29
FY25-M08,FY25 M08 - Fiscal January,2025,8,January,2025,2024-12-30,2025-01-26
FY25-M09,FY25 M09 - Fiscal February,2025,9,February,2025,2025-01-27,2025-02-23
FY25-M10,FY25 M10 - Fiscal March,2025,10,March,2025,2025-02-24,2025-03-30
FY25-M11,FY25 M11 - Fiscal April,2025,11,April,2025,2025-03-31,2025-04-27
FY25-M12,FY25 M12 - Fiscal May,2025,12,May,2025,2025-04-28,2025-05-25
FY26-M01,FY26 M01 - Fiscal June,2026,1,June,2025,2025-05-26,2025-06-29
FY26-M02,FY26 M02 - Fiscal July,2026,2,July,2025,2025-06-30,2025-07-27
FY26-M03,FY26 M03 - Fiscal August,2026,3,August,2025,2025-07-28,2025-08-24
FY26-M04,FY26 M04 - Fiscal September,2026,4,September,2025,2025-08-25,2025-09-28
FY26-M05,FY26 M05 - Fiscal October,2026,5,October,2025,2025-09-29,2025-10-26
FY26-M06,FY26 M06 - Fiscal November,2026,6,November,2025,2025-10-27,2025-11-23
FY26-M07,FY26 M07 - Fiscal December,2026,7,December,2025,2025-11-24,2025-12-28
FY26-M08,FY26 M08 - Fiscal January,2026,8,January,2026,2025-12-29,2026-01-25
FY26-M09,FY26 M09 - Fiscal February,2026,9,February,2026,2026-01-26,2026-02-22
FY26-M10,FY26 M10 - Fiscal March,2026,10,March,2026,2026-02-23,2026-03-29
FY26-M11,FY26 M11 - Fiscal April,2026,11,April,2026,2026-03-30,2026-04-26
FY26-M12,FY26 M12 - Fiscal May,2026,12,May,2026,2026-04-27,2026-05-31
FY27-M01,FY27 M01 - Fiscal June,2027,1,June,2026,2026-06-01,2026-07-05
FY27-M02,FY27 M02 - Fiscal July,2027,2,July,2026,2026-07-06,2026-08-02
FY27-M03,FY27 M03 - Fiscal August,2027,3,August,2026,2026-08-03,2026-08-30
FY27-M04,FY27 M04 - Fiscal September,2027,4,September,2026,2026-08-31,2026-10-04
FY27-M05,FY27 M05 - Fiscal October,2027,5,October,2026,2026-10-05,2026-11-01
FY27-M06,FY27 M06 - Fiscal November,2027,6,November,2026,2026-11-02,2026-11-29
FY27-M07,FY27 M07 - Fiscal December,2027,7,December,2026,2026-11-30,2027-01-03
FY27-M08,FY27 M08 - Fiscal January,2027,8,January,2027,2027-01-04,2027-01-31
FY27-M09,FY27 M09 - Fiscal February,2027,9,February,2027,2027-02-01,2027-02-28
FY27-M10,FY27 M10 - Fiscal March,2027,10,March,2027,2027-03-01,2027-04-04
FY27-M11,FY27 M11 - Fiscal April,2027,11,April,2027,2027-04-05,2027-05-02
FY27-M12,FY27 M12 - Fiscal May,2027,12,May,2027,2027-05-03,2027-05-30
FY28-M01,FY28 M01 - Fiscal June,2028,1,June,2027,2027-05-31,2027-07-04
FY28-M02,FY28 M02 - Fiscal July,2028,2,July,2027,2027-07-05,2027-08-01
FY28-M03,FY28 M03 - Fiscal August,2028,3,August,2027,2027-08-02,2027-08-29
FY28-M04,FY28 M04 - Fiscal September,2028,4,September,2027,2027-08-30,2027-10-03
FY28-M05,FY28 M05 - Fiscal October,2028,5,October,2027,2027-10-04,2027-10-31
FY28-M06,FY28 M06 - Fiscal November,2028,6,November,2027,2027-11-01,2027-11-28
FY28-M07,FY28 M07 - Fiscal December,2028,7,December,2027,2027-11-29,2028-01-02
FY28-M08,FY28 M08 - Fiscal January,2028,8,January,2028,2028-01-03,2028-01-30
FY28-M09,FY28 M09 - Fiscal February,2028,9,February,2028,2028-01-31,2028-02-27
FY28-M10,FY28 M10 - Fiscal March,2028,10,March,2028,2028-02-28,2028-04-02
FY28-M11,FY28 M11 - Fiscal April,2028,11,April,2028,2028-04-03,2028-04-30
FY28-M12,FY28 M12 - Fiscal May,2028,12,May,2028,2028-05-01,2028-05-28
FY29-M01,FY29 M01 - Fiscal June,2029,1,June,2028,2028-05-29,2028-07-02
FY29-M02,FY29 M02 - Fiscal July,2029,2,July,2028,2028-07-03,2028-07-30
FY29-M03,FY29 M03 - Fiscal August,2029,3,August,2028,2028-07-31,2028-08-27
FY29-M04,FY29 M04 - Fiscal September,2029,4,September,2028,2028-08-28,2028-10-01
FY29-M05,FY29 M05 - Fiscal October,2029,5,October,2028,2028-10-02,2028-10-29
FY29-M06,FY29 M06 - Fiscal November,2029,6,November,2028,2028-10-30,2028-11-26
FY29-M07,FY29 M07 - Fiscal December,2029,7,December,2028,2028-11-27,2028-12-31
FY29-M08,FY29 M08 - Fiscal January,2029,8,January,2029,2029-01-01,2029-01-28
FY29-M09,FY29 M09 - Fiscal February,2029,9,February,2029,2029-01-29,2029-02-25
FY29-M10,FY29 M10 - Fiscal March,2029,10,March,2029,2029-02-26,2029-04-01
FY29-M11,FY29 M11 - Fiscal April,2029,11,April,2029,2029-04-02,2029-04-29
FY29-M12,FY29 M12 - Fiscal May,2029,12,May,2029,2029-04-30,2029-05-27
